,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
0,0,3,1,22.0,1,0,7.25,7,3
1,1,1,0,38.0,1,0,71.2833,2,0
2,1,3,0,26.0,0,0,7.925,7,3
3,1,1,0,35.0,1,0,53.1,2,3
4,0,3,1,35.0,0,0,8.05,7,3
5,0,3,1,29.69911764705882,0,0,8.4583,7,2
6,0,1,1,54.0,0,0,51.8625,4,3
7,0,3,1,2.0,3,1,21.075,7,3
8,1,3,0,27.0,0,2,11.1333,7,3
9,1,2,0,14.0,1,0,30.0708,7,0
10,1,3,0,4.0,1,1,16.7,6,3
11,1,1,0,58.0,0,0,26.55,2,3
12,0,3,1,20.0,0,0,8.05,7,3
13,0,3,1,39.0,1,5,31.275,7,3
14,0,3,0,14.0,0,0,7.8542,7,3
15,1,2,0,55.0,0,0,16.0,7,3
16,0,3,1,2.0,4,1,29.125,7,2
17,1,2,1,29.69911764705882,0,0,13.0,7,3
18,0,3,0,31.0,1,0,18.0,7,3
19,1,3,0,29.69911764705882,0,0,7.225,7,0
20,0,2,1,35.0,0,0,26.0,7,3
21,1,2,1,34.0,0,0,13.0,3,3
22,1,3,0,15.0,0,0,8.0292,7,2
23,1,1,1,28.0,0,0,35.5,0,3
24,0,3,0,8.0,3,1,21.075,7,3
25,1,3,0,38.0,1,5,31.3875,7,3
26,0,3,1,29.69911764705882,0,0,7.225,7,0
27,0,1,1,19.0,3,2,263.0,2,3
28,1,3,0,29.69911764705882,0,0,7.8792,7,2
29,0,3,1,29.69911764705882,0,0,7.8958,7,3
30,0,1,1,40.0,0,0,27.7208,7,0
31,1,1,0,29.69911764705882,1,0,146.5208,1,0
32,1,3,0,29.69911764705882,0,0,7.75,7,2
33,0,2,1,66.0,0,0,10.5,7,3
34,0,1,1,28.0,1,0,82.1708,7,0
35,0,1,1,42.0,1,0,52.0,7,3
36,1,3,1,29.69911764705882,0,0,7.2292,7,0
37,0,3,1,21.0,0,0,8.05,7,3
38,0,3,0,18.0,2,0,18.0,7,3
39,1,3,0,14.0,1,0,11.2417,7,0
40,0,3,0,40.0,1,0,9.475,7,3
41,0,2,0,27.0,1,0,21.0,7,3
42,0,3,1,29.69911764705882,0,0,7.8958,7,0
43,1,2,0,3.0,1,2,41.5792,7,0
44,1,3,0,19.0,0,0,7.8792,7,2
45,0,3,1,29.69911764705882,0,0,8.05,7,3
46,0,3,1,29.69911764705882,1,0,15.5,7,2
47,1,3,0,29.69911764705882,0,0,7.75,7,2
48,0,3,1,29.69911764705882,2,0,21.6792,7,0
49,0,3,0,18.0,1,0,17.8,7,3
50,0,3,1,7.0,4,1,39.6875,7,3
51,0,3,1,21.0,0,0,7.8,7,3
52,1,1,0,49.0,1,0,76.7292,3,0
53,1,2,0,29.0,1,0,26.0,7,3
54,0,1,1,65.0,0,1,61.9792,1,0
55,1,1,1,29.69911764705882,0,0,35.5,2,3
56,1,2,0,21.0,0,0,10.5,7,3
57,0,3,1,28.5,0,0,7.2292,7,0
58,1,2,0,5.0,1,2,27.75,7,3
59,0,3,1,11.0,5,2,46.9,7,3
60,0,3,1,22.0,0,0,7.2292,7,0
61,1,1,0,38.0,0,0,80.0,1,1
62,0,1,1,45.0,1,0,83.475,2,3
63,0,3,1,4.0,3,2,27.9,7,3
64,0,1,1,29.69911764705882,0,0,27.7208,7,0
65,1,3,1,29.69911764705882,1,1,15.2458,7,0
66,1,2,0,29.0,0,0,10.5,5,3
67,0,3,1,19.0,0,0,8.1583,7,3
68,1,3,0,17.0,4,2,7.925,7,3
69,0,3,1,26.0,2,0,8.6625,7,3
70,0,2,1,32.0,0,0,10.5,7,3
71,0,3,0,16.0,5,2,46.9,7,3
72,0,2,1,21.0,0,0,73.5,7,3
73,0,3,1,26.0,1,0,14.4542,7,0
74,1,3,1,32.0,0,0,56.4958,7,3
75,0,3,1,25.0,0,0,7.65,5,3
76,0,3,1,29.69911764705882,0,0,7.8958,7,3
77,0,3,1,29.69911764705882,0,0,8.05,7,3
78,1,2,1,0.83,0,2,29.0,7,3
79,1,3,0,30.0,0,0,12.475,7,3
80,0,3,1,22.0,0,0,9.0,7,3
81,1,3,1,29.0,0,0,9.5,7,3
82,1,3,0,29.69911764705882,0,0,7.7875,7,2
83,0,1,1,28.0,0,0,47.1,7,3
84,1,2,0,17.0,0,0,10.5,7,3
85,1,3,0,33.0,3,0,15.85,7,3
86,0,3,1,16.0,1,3,34.375,7,3
87,0,3,1,29.69911764705882,0,0,8.05,7,3
88,1,1,0,23.0,3,2,263.0,2,3
89,0,3,1,24.0,0,0,8.05,7,3
90,0,3,1,29.0,0,0,8.05,7,3
91,0,3,1,20.0,0,0,7.8542,7,3
92,0,1,1,46.0,1,0,61.175,4,3
93,0,3,1,26.0,1,2,20.575,7,3
94,0,3,1,59.0,0,0,7.25,7,3
95,0,3,1,29.69911764705882,0,0,8.05,7,3
96,0,1,1,71.0,0,0,34.6542,0,0
97,1,1,1,23.0,0,1,63.3583,3,0
98,1,2,0,34.0,0,1,23.0,7,3
99,0,2,1,34.0,1,0,26.0,7,3
100,0,3,0,28.0,0,0,7.8958,7,3
101,0,3,1,29.69911764705882,0,0,7.8958,7,3
102,0,1,1,21.0,0,1,77.2875,3,3
103,0,3,1,33.0,0,0,8.6542,7,3
104,0,3,1,37.0,2,0,7.925,7,3
105,0,3,1,28.0,0,0,7.8958,7,3
106,1,3,0,21.0,0,0,7.65,7,3
107,1,3,1,29.69911764705882,0,0,7.775,7,3
108,0,3,1,38.0,0,0,7.8958,7,3
109,1,3,0,29.69911764705882,1,0,24.15,7,2
110,0,1,1,47.0,0,0,52.0,2,3
111,0,3,0,14.5,1,0,14.4542,7,0
112,0,3,1,22.0,0,0,8.05,7,3
113,0,3,0,20.0,1,0,9.825,7,3
114,0,3,0,17.0,0,0,14.4583,7,0
115,0,3,1,21.0,0,0,7.925,7,3
116,0,3,1,70.5,0,0,7.75,7,2
117,0,2,1,29.0,1,0,21.0,7,3
118,0,1,1,24.0,0,1,247.5208,1,0
119,0,3,0,2.0,4,2,31.275,7,3
120,0,2,1,21.0,2,0,73.5,7,3
121,0,3,1,29.69911764705882,0,0,8.05,7,3
122,0,2,1,32.5,1,0,30.0708,7,0
123,1,2,0,32.5,0,0,13.0,4,3
124,0,1,1,54.0,0,1,77.2875,3,3
125,1,3,1,12.0,1,0,11.2417,7,0
126,0,3,1,29.69911764705882,0,0,7.75,7,2
127,1,3,1,24.0,0,0,7.1417,7,3
128,1,3,0,29.69911764705882,1,1,22.3583,5,0
129,0,3,1,45.0,0,0,6.975,7,3
130,0,3,1,33.0,0,0,7.8958,7,0
131,0,3,1,20.0,0,0,7.05,7,3
132,0,3,0,47.0,1,0,14.5,7,3
133,1,2,0,29.0,1,0,26.0,7,3
134,0,2,1,25.0,0,0,13.0,7,3
135,0,2,1,23.0,0,0,15.0458,7,0
136,1,1,0,19.0,0,2,26.2833,3,3
137,0,1,1,37.0,1,0,53.1,2,3
138,0,3,1,16.0,0,0,9.2167,7,3
139,0,1,1,24.0,0,0,79.2,1,0
140,0,3,0,29.69911764705882,0,2,15.2458,7,0
141,1,3,0,22.0,0,0,7.75,7,3
142,1,3,0,24.0,1,0,15.85,7,3
143,0,3,1,19.0,0,0,6.75,7,2
144,0,2,1,18.0,0,0,11.5,7,3
145,0,2,1,19.0,1,1,36.75,7,3
146,1,3,1,27.0,0,0,7.7958,7,3
147,0,3,0,9.0,2,2,34.375,7,3
148,0,2,1,36.5,0,2,26.0,5,3
149,0,2,1,42.0,0,0,13.0,7,3
150,0,2,1,51.0,0,0,12.525,7,3
151,1,1,0,22.0,1,0,66.6,2,3
152,0,3,1,55.5,0,0,8.05,7,3
153,0,3,1,40.5,0,2,14.5,7,3
154,0,3,1,29.69911764705882,0,0,7.3125,7,3
155,0,1,1,51.0,0,1,61.3792,7,0
156,1,3,0,16.0,0,0,7.7333,7,2
157,0,3,1,30.0,0,0,8.05,7,3
158,0,3,1,29.69911764705882,0,0,8.6625,7,3
159,0,3,1,29.69911764705882,8,2,69.55,7,3
160,0,3,1,44.0,0,1,16.1,7,3
161,1,2,0,40.0,0,0,15.75,7,3
162,0,3,1,26.0,0,0,7.775,7,3
163,0,3,1,17.0,0,0,8.6625,7,3
164,0,3,1,1.0,4,1,39.6875,7,3
165,1,3,1,9.0,0,2,20.525,7,3
166,1,1,0,29.69911764705882,0,1,55.0,4,3
167,0,3,0,45.0,1,4,27.9,7,3
168,0,1,1,29.69911764705882,0,0,25.925,7,3
169,0,3,1,28.0,0,0,56.4958,7,3
170,0,1,1,61.0,0,0,33.5,1,3
171,0,3,1,4.0,4,1,29.125,7,2
172,1,3,0,1.0,1,1,11.1333,7,3
173,0,3,1,21.0,0,0,7.925,7,3
174,0,1,1,56.0,0,0,30.6958,0,0
175,0,3,1,18.0,1,1,7.8542,7,3
176,0,3,1,29.69911764705882,3,1,25.4667,7,3
177,0,1,0,50.0,0,0,28.7125,2,0
178,0,2,1,30.0,0,0,13.0,7,3
179,0,3,1,36.0,0,0,0.0,7,3
180,0,3,0,29.69911764705882,8,2,69.55,7,3
181,0,2,1,29.69911764705882,0,0,15.05,7,0
182,0,3,1,9.0,4,2,31.3875,7,3
183,1,2,1,1.0,2,1,39.0,5,3
184,1,3,0,4.0,0,2,22.025,7,3
185,0,1,1,29.69911764705882,0,0,50.0,0,3
186,1,3,0,29.69911764705882,1,0,15.5,7,2
187,1,1,1,45.0,0,0,26.55,7,3
188,0,3,1,40.0,1,1,15.5,7,2
189,0,3,1,36.0,0,0,7.8958,7,3
190,1,2,0,32.0,0,0,13.0,7,3
191,0,2,1,19.0,0,0,13.0,7,3
192,1,3,0,19.0,1,0,7.8542,7,3
193,1,2,1,3.0,1,1,26.0,5,3
194,1,1,0,44.0,0,0,27.7208,1,0
195,1,1,0,58.0,0,0,146.5208,1,0
196,0,3,1,29.69911764705882,0,0,7.75,7,2
197,0,3,1,42.0,0,1,8.4042,7,3
198,1,3,0,29.69911764705882,0,0,7.75,7,2
199,0,2,0,24.0,0,0,13.0,7,3
200,0,3,1,28.0,0,0,9.5,7,3
201,0,3,1,29.69911764705882,8,2,69.55,7,3
202,0,3,1,34.0,0,0,6.4958,7,3
203,0,3,1,45.5,0,0,7.225,7,0
204,1,3,1,18.0,0,0,8.05,7,3
205,0,3,0,2.0,0,1,10.4625,6,3
206,0,3,1,32.0,1,0,15.85,7,3
207,1,3,1,26.0,0,0,18.7875,7,0
208,1,3,0,16.0,0,0,7.75,7,2
209,1,1,1,40.0,0,0,31.0,0,0
210,0,3,1,24.0,0,0,7.05,7,3
211,1,2,0,35.0,0,0,21.0,7,3
212,0,3,1,22.0,0,0,7.25,7,3
213,0,2,1,30.0,0,0,13.0,7,3
214,0,3,1,29.69911764705882,1,0,7.75,7,2
215,1,1,0,31.0,1,0,113.275,3,0
216,1,3,0,27.0,0,0,7.925,7,3
217,0,2,1,42.0,1,0,27.0,7,3
218,1,1,0,32.0,0,0,76.2917,3,0
219,0,2,1,30.0,0,0,10.5,7,3
220,1,3,1,16.0,0,0,8.05,7,3
221,0,2,1,27.0,0,0,13.0,7,3
222,0,3,1,51.0,0,0,8.05,7,3
223,0,3,1,29.69911764705882,0,0,7.8958,7,3
224,1,1,1,38.0,1,0,90.0,2,3
225,0,3,1,22.0,0,0,9.35,7,3
226,1,2,1,19.0,0,0,10.5,7,3
227,0,3,1,20.5,0,0,7.25,7,3
228,0,2,1,18.0,0,0,13.0,7,3
229,0,3,0,29.69911764705882,3,1,25.4667,7,3
230,1,1,0,35.0,1,0,83.475,2,3
231,0,3,1,29.0,0,0,7.775,7,3
232,0,2,1,59.0,0,0,13.5,7,3
233,1,3,0,5.0,4,2,31.3875,7,3
234,0,2,1,24.0,0,0,10.5,7,3
235,0,3,0,29.69911764705882,0,0,7.55,7,3
236,0,2,1,44.0,1,0,26.0,7,3
237,1,2,0,8.0,0,2,26.25,7,3
238,0,2,1,19.0,0,0,10.5,7,3
239,0,2,1,33.0,0,0,12.275,7,3
240,0,3,0,29.69911764705882,1,0,14.4542,7,0
241,1,3,0,29.69911764705882,1,0,15.5,7,2
242,0,2,1,29.0,0,0,10.5,7,3
243,0,3,1,22.0,0,0,7.125,7,3
244,0,3,1,30.0,0,0,7.225,7,0
245,0,1,1,44.0,2,0,90.0,2,2
246,0,3,0,25.0,0,0,7.775,7,3
247,1,2,0,24.0,0,2,14.5,7,3
248,1,1,1,37.0,1,1,52.5542,3,3
249,0,2,1,54.0,1,0,26.0,7,3
250,0,3,1,29.69911764705882,0,0,7.25,7,3
251,0,3,0,29.0,1,1,10.4625,6,3
252,0,1,1,62.0,0,0,26.55,2,3
253,0,3,1,30.0,1,0,16.1,7,3
254,0,3,0,41.0,0,2,20.2125,7,3
255,1,3,0,29.0,0,2,15.2458,7,0
256,1,1,0,29.69911764705882,0,0,79.2,7,0
257,1,1,0,30.0,0,0,86.5,1,3
258,1,1,0,35.0,0,0,512.3292,7,0
259,1,2,0,50.0,0,1,26.0,7,3
260,0,3,1,29.69911764705882,0,0,7.75,7,2
261,1,3,1,3.0,4,2,31.3875,7,3
262,0,1,1,52.0,1,1,79.65,4,3
263,0,1,1,40.0,0,0,0.0,1,3
264,0,3,0,29.69911764705882,0,0,7.75,7,2
265,0,2,1,36.0,0,0,10.5,7,3
266,0,3,1,16.0,4,1,39.6875,7,3
267,1,3,1,25.0,1,0,7.775,7,3
268,1,1,0,58.0,0,1,153.4625,2,3
269,1,1,0,35.0,0,0,135.6333,2,3
270,0,1,1,29.69911764705882,0,0,31.0,7,3
271,1,3,1,25.0,0,0,0.0,7,3
272,1,2,0,41.0,0,1,19.5,7,3
273,0,1,1,37.0,0,1,29.7,2,0
274,1,3,0,29.69911764705882,0,0,7.75,7,2
275,1,1,0,63.0,1,0,77.9583,3,3
276,0,3,0,45.0,0,0,7.75,7,3
277,0,2,1,29.69911764705882,0,0,0.0,7,3
278,0,3,1,7.0,4,1,29.125,7,2
279,1,3,0,35.0,1,1,20.25,7,3
280,0,3,1,65.0,0,0,7.75,7,2
281,0,3,1,28.0,0,0,7.8542,7,3
282,0,3,1,16.0,0,0,9.5,7,3
283,1,3,1,19.0,0,0,8.05,7,3
284,0,1,1,29.69911764705882,0,0,26.0,0,3
285,0,3,1,33.0,0,0,8.6625,7,0
286,1,3,1,30.0,0,0,9.5,7,3
287,0,3,1,22.0,0,0,7.8958,7,3
288,1,2,1,42.0,0,0,13.0,7,3
289,1,3,0,22.0,0,0,7.75,7,2
290,1,1,0,26.0,0,0,78.85,7,3
291,1,1,0,19.0,1,0,91.0792,1,0
292,0,2,1,36.0,0,0,12.875,3,0
293,0,3,0,24.0,0,0,8.85,7,3
294,0,3,1,24.0,0,0,7.8958,7,3
295,0,1,1,29.69911764705882,0,0,27.7208,7,0
296,0,3,1,23.5,0,0,7.2292,7,0
297,0,1,0,2.0,1,2,151.55,2,3
298,1,1,1,29.69911764705882,0,0,30.5,2,3
299,1,1,0,50.0,0,1,247.5208,1,0
300,1,3,0,29.69911764705882,0,0,7.75,7,2
301,1,3,1,29.69911764705882,2,0,23.25,7,2
302,0,3,1,19.0,0,0,0.0,7,3
303,1,2,0,29.69911764705882,0,0,12.35,4,2
304,0,3,1,29.69911764705882,0,0,8.05,7,3
305,1,1,1,0.92,1,2,151.55,2,3
306,1,1,0,29.69911764705882,0,0,110.8833,7,0
307,1,1,0,17.0,1,0,108.9,2,0
308,0,2,1,30.0,1,0,24.0,7,0
309,1,1,0,30.0,0,0,56.9292,4,0
310,1,1,0,24.0,0,0,83.1583,2,0
311,1,1,0,18.0,2,2,262.375,1,0
312,0,2,0,26.0,1,1,26.0,7,3
313,0,3,1,28.0,0,0,7.8958,7,3
314,0,2,1,43.0,1,1,26.25,7,3
315,1,3,0,26.0,0,0,7.8542,7,3
316,1,2,0,24.0,1,0,26.0,7,3
317,0,2,1,54.0,0,0,14.0,7,3
318,1,1,0,31.0,0,2,164.8667,2,3
319,1,1,0,40.0,1,1,134.5,4,0
320,0,3,1,22.0,0,0,7.25,7,3
321,0,3,1,27.0,0,0,7.8958,7,3
322,1,2,0,30.0,0,0,12.35,7,2
323,1,2,0,22.0,1,1,29.0,7,3
324,0,3,1,29.69911764705882,8,2,69.55,7,3
325,1,1,0,36.0,0,0,135.6333,2,0
326,0,3,1,61.0,0,0,6.2375,7,3
327,1,2,0,36.0,0,0,13.0,3,3
328,1,3,0,31.0,1,1,20.525,7,3
329,1,1,0,16.0,0,1,57.9792,1,0
330,1,3,0,29.69911764705882,2,0,23.25,7,2
331,0,1,1,45.5,0,0,28.5,2,3
332,0,1,1,38.0,0,1,153.4625,2,3
333,0,3,1,16.0,2,0,18.0,7,3
334,1,1,0,29.69911764705882,1,0,133.65,7,3
335,0,3,1,29.69911764705882,0,0,7.8958,7,3
336,0,1,1,29.0,1,0,66.6,2,3
337,1,1,0,41.0,0,0,134.5,4,0
338,1,3,1,45.0,0,0,8.05,7,3
339,0,1,1,45.0,0,0,35.5,8,3
340,1,2,1,2.0,1,1,26.0,5,3
341,1,1,0,24.0,3,2,263.0,2,3
342,0,2,1,28.0,0,0,13.0,7,3
343,0,2,1,25.0,0,0,13.0,7,3
344,0,2,1,36.0,0,0,13.0,7,3
345,1,2,0,24.0,0,0,13.0,5,3
346,1,2,0,40.0,0,0,13.0,7,3
347,1,3,0,29.69911764705882,1,0,16.1,7,3
348,1,3,1,3.0,1,1,15.9,7,3
349,0,3,1,42.0,0,0,8.6625,7,3
350,0,3,1,23.0,0,0,9.225,7,3
351,0,1,1,29.69911764705882,0,0,35.0,2,3
352,0,3,1,15.0,1,1,7.2292,7,0
353,0,3,1,25.0,1,0,17.8,7,3
354,0,3,1,29.69911764705882,0,0,7.225,7,0
355,0,3,1,28.0,0,0,9.5,7,3
356,1,1,0,22.0,0,1,55.0,4,3
357,0,2,0,38.0,0,0,13.0,7,3
358,1,3,0,29.69911764705882,0,0,7.8792,7,2
359,1,3,0,29.69911764705882,0,0,7.8792,7,2
360,0,3,1,40.0,1,4,27.9,7,3
361,0,2,1,29.0,1,0,27.7208,7,0
362,0,3,0,45.0,0,1,14.4542,7,0
363,0,3,1,35.0,0,0,7.05,7,3
364,0,3,1,29.69911764705882,1,0,15.5,7,2
365,0,3,1,30.0,0,0,7.25,7,3
366,1,1,0,60.0,1,0,75.25,3,0
367,1,3,0,29.69911764705882,0,0,7.2292,7,0
368,1,3,0,29.69911764705882,0,0,7.75,7,2
369,1,1,0,24.0,0,0,69.3,1,0
370,1,1,1,25.0,1,0,55.4417,4,0
371,0,3,1,18.0,1,0,6.4958,7,3
372,0,3,1,19.0,0,0,8.05,7,3
373,0,1,1,22.0,0,0,135.6333,7,0
374,0,3,0,3.0,3,1,21.075,7,3
375,1,1,0,29.69911764705882,1,0,82.1708,7,0
376,1,3,0,22.0,0,0,7.25,7,3
377,0,1,1,27.0,0,2,211.5,2,0
378,0,3,1,20.0,0,0,4.0125,7,0
379,0,3,1,19.0,0,0,7.775,7,3
380,1,1,0,42.0,0,0,227.525,7,0
381,1,3,0,1.0,0,2,15.7417,7,0
382,0,3,1,32.0,0,0,7.925,7,3
383,1,1,0,35.0,1,0,52.0,7,3
384,0,3,1,29.69911764705882,0,0,7.8958,7,3
385,0,2,1,18.0,0,0,73.5,7,3
386,0,3,1,1.0,5,2,46.9,7,3
387,1,2,0,36.0,0,0,13.0,7,3
388,0,3,1,29.69911764705882,0,0,7.7292,7,2
389,1,2,0,17.0,0,0,12.0,7,0
390,1,1,1,36.0,1,2,120.0,1,3
391,1,3,1,21.0,0,0,7.7958,7,3
392,0,3,1,28.0,2,0,7.925,7,3
393,1,1,0,23.0,1,0,113.275,3,0
394,1,3,0,24.0,0,2,16.7,6,3
395,0,3,1,22.0,0,0,7.7958,7,3
396,0,3,0,31.0,0,0,7.8542,7,3
397,0,2,1,46.0,0,0,26.0,7,3
398,0,2,1,23.0,0,0,10.5,7,3
399,1,2,0,28.0,0,0,12.65,7,3
400,1,3,1,39.0,0,0,7.925,7,3
401,0,3,1,26.0,0,0,8.05,7,3
402,0,3,0,21.0,1,0,9.825,7,3
403,0,3,1,28.0,1,0,15.85,7,3
404,0,3,0,20.0,0,0,8.6625,7,3
405,0,2,1,34.0,1,0,21.0,7,3
406,0,3,1,51.0,0,0,7.75,7,3
407,1,2,1,3.0,1,1,18.75,7,3
408,0,3,1,21.0,0,0,7.775,7,3
409,0,3,0,29.69911764705882,3,1,25.4667,7,3
410,0,3,1,29.69911764705882,0,0,7.8958,7,3
411,0,3,1,29.69911764705882,0,0,6.8583,7,2
412,1,1,0,33.0,1,0,90.0,2,2
413,0,2,1,29.69911764705882,0,0,0.0,7,3
414,1,3,1,44.0,0,0,7.925,7,3
415,0,3,0,29.69911764705882,0,0,8.05,7,3
416,1,2,0,34.0,1,1,32.5,7,3
417,1,2,0,18.0,0,2,13.0,7,3
418,0,2,1,30.0,0,0,13.0,7,3
419,0,3,0,10.0,0,2,24.15,7,3
420,0,3,1,29.69911764705882,0,0,7.8958,7,0
421,0,3,1,21.0,0,0,7.7333,7,2
422,0,3,1,29.0,0,0,7.875,7,3
423,0,3,0,28.0,1,1,14.4,7,3
424,0,3,1,18.0,1,1,20.2125,7,3
425,0,3,1,29.69911764705882,0,0,7.25,7,3
426,1,2,0,28.0,1,0,26.0,7,3
427,1,2,0,19.0,0,0,26.0,7,3
428,0,3,1,29.69911764705882,0,0,7.75,7,2
429,1,3,1,32.0,0,0,8.05,4,3
430,1,1,1,28.0,0,0,26.55,2,3
431,1,3,0,29.69911764705882,1,0,16.1,7,3
432,1,2,0,42.0,1,0,26.0,7,3
433,0,3,1,17.0,0,0,7.125,7,3
434,0,1,1,50.0,1,0,55.9,4,3
435,1,1,0,14.0,1,2,120.0,1,3
436,0,3,0,21.0,2,2,34.375,7,3
437,1,2,0,24.0,2,3,18.75,7,3
438,0,1,1,64.0,1,4,263.0,2,3
439,0,2,1,31.0,0,0,10.5,7,3
440,1,2,0,45.0,1,1,26.25,7,3
441,0,3,1,20.0,0,0,9.5,7,3
442,0,3,1,25.0,1,0,7.775,7,3
443,1,2,0,28.0,0,0,13.0,7,3
444,1,3,1,29.69911764705882,0,0,8.1125,7,3
445,1,1,1,4.0,0,2,81.8583,0,3
446,1,2,0,13.0,0,1,19.5,7,3
